test_set,Label NB
serius bete banget udah nyoba login kali tetep aja gabisa pake email gabisa pake google gabisa aneh,negatif
alhamdulillah sdh wawancara,positif
jobstreet profesional baik program,positif
moga,positif
bantu bnyk info lowong kerja sesuai skil mampu,positif
aplikasi ga update loker banyak s1 apply lamar ga panggil,negatif
jelek tipi tipu,negatif
goood,positif
pake jobstret kaga pangilan pis tutup aja kadaluarsa,negatif
register lambat tolong baik,negatif
good app for job seeker,positif
masuk akun login seek masukdan pencet tolong benah,negatif
diupdate jobstreet ribet proses,negatif
aplikasi samaph tipu mengatasnamakan usah banyk usaha fiktif developer tomlol cari untung doang benerin syarat buat akun postingan info loker nya kya gin sya jdi hrd modal bayar iklhan mengatasnamakan usah fiktif,negatif
ribetdrpd yg,positif
moga berkas yg kirim terima nama tuhan yesus amin,positif
maaf nih aplikasi kasih kerja bener kerja tipu masukin aplikasikita tuh kerja cari uang mintain uangnih nama bikinin loker fnbapplyhikarusushi skrng banget lamar tebet mintain duit 1jttolong kasihan orang udh ngasih duit ga langsung kerja ttd kontraktolong apk jobstreet loker penipuanterimakasih,negatif
bagus,positif
berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,negatif
update susah log in muter ga,negatif
aplikasi bingung massa lamar ngirim resume,negatif
gak aplikasi nya ken ngeliat lamar gak buka,negatif
bagus baharu eh bagus ancur lokernya gk ter update loker muncul,negatif
jobstreet baharu gak akses yatidak loginmohon baik,negatif
tolong fokus loker nama kotaaaa,negatif
susah bgt sign in,negatif
bantu cari kerja,positif
lowong kerja palsu tulis benefit masuk akal interview rata2 banyak ruko kasi fresh graduate awam tolong ketat aplikasi,negatif
ruwet,positif
very helpful application,positif
ok,positif
tolong diperbaikin sistem loker bodong udah 200 lamar sebar tp satu yg nyangkut kali lamar alesannya loker nya udah tutup buka lokernya,negatif
aplikasi ribet yaaa cv upload upload ribet deh,negatif
mudahh,positif
ok,positif
lamar kerja tdk tolak aplikasi jobstreet,negatif
ok aja tinggal leletny,positif
good,positif
bantu,positif
baik versi enak ui nya,negatif
hati nyari loker jobstreet bnyk usaha bodong yg ujung duit,negatif
cocok nyari kerja yg relevan update info terima kasih jobstreet moga konsisten valid informasi putar lowong kerja,positif
bantu cari loker jobstteet,positif
good,positif
udah kali download tetep gabisa login,negatif
bantu loker terupdate,positif
very inspiring and very helpful thank you very much,positif
bagus,positif
tampil update ga enak lihat search nama daerah muncul kembali tampil yg,negatif
tiba2 akun log out pas login ga,negatif
good,positif
bad experience never get a job from this apps,positif
alam bidang purniture perna sopasepringbedminimalis sales marketing,positif
loker palsu alamat lokasi ruko ruko,negatif
updete mulu,negatif
udah 2 ngirim lamar 100 apply gak yg nyangkut satu,negatif
bantu top,positif
tampil buruk sulit ga serti mohon ceo jobsreet pantau,negatif
mantap bidang kerja lengkap bangeut manfaat cari kerja pungut biyaya,positif
gak panggil,negatif
bantu cari referensi kerja cocok,positif
bagus,positif
