score,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
5,Bagus,bagus,bagus,['bagus'],bagus
4,"Tempat edukasi bagus, tempat terawat walau masih dalam tahap pengembangan.. Tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh, tifak stroller friendly, bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1.tapi pertunjukan hewan nya bagus, hewan terawat",tempat edukasi bagus tempat terawat walau masih dalam tahap pengembangan tapi jalan ke area pertunjukan satwa dari pintu masuk teramat jauh tifak stroller friendly bahkan bukan jalan yg bagus untuk pejalan kaki apalgi jika bawa anak lbh dari 1tapi pertunjukan hewan nya bagus hewan terawat,edukasi bagus terawat tahap pengembangan jalan area pertunjukan satwa pintu masuk teramat tifak stroller friendly jalan yg bagus pejalan kaki apalgi bawa anak lbh 1tapi pertunjukan hewan nya bagus hewan terawat,"['edukasi', 'bagus', 'terawat', 'tahap', 'pengembangan', 'jalan', 'area', 'pertunjukan', 'satwa', 'pintu', 'masuk', 'teramat', 'tifak', 'stroller', 'friendly', 'jalan', 'yg', 'bagus', 'pejalan', 'kaki', 'apalgi', 'bawa', 'anak', 'lbh', '1tapi', 'pertunjukan', 'hewan', 'nya', 'bagus', 'hewan', 'terawat']",edukasi bagus awat tahap kembang jalan area tunjuk satwa pintu masuk amat tifak stroller friendly jalan yg bagus pejal kaki apalgi bawa anak lbh 1tapi tunjuk hewan nya bagus hewan awat
5,"Atraksi lumba2nya sudah update. Sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya. Pantainya bersih, enak buat mainan anak2",atraksi lumba2nya sudah update sudah kesini 3 kali alhamdulillah selalu puas dengan atraksi lumba2nya pantainya bersih enak buat mainan anak2,atraksi lumba2nya update kesini 3 kali alhamdulillah puas atraksi lumba2nya pantainya bersih enak mainan anak2,"['atraksi', 'lumba2nya', 'update', 'kesini', '3', 'kali', 'alhamdulillah', 'puas', 'atraksi', 'lumba2nya', 'pantainya', 'bersih', 'enak', 'mainan', 'anak2']",atraksi lumba2nya update kesini 3 kali alhamdulillah puas atraksi lumba2nya pantai bersih enak main anak2
1,Coba aja pasti menyesal,coba aja pasti menyesal,coba aja menyesal,"['coba', 'aja', 'menyesal']",coba aja sesal
5,"Cocok untuk berlibur bersama keluarga
Pentas LUMBA - LUMBA
Naik GAJAH ",cocok untuk berlibur bersama keluargapentas lumba  lumbanaik gajah ,cocok berlibur keluargapentas lumba lumbanaik gajah,"['cocok', 'berlibur', 'keluargapentas', 'lumba', 'lumbanaik', 'gajah']",cocok libur keluargapentas lumba lumbanaik gajah
5,Pertunjukan satwa dan lumba lumba menarik,pertunjukan satwa dan lumba lumba menarik,pertunjukan satwa lumba lumba menarik,"['pertunjukan', 'satwa', 'lumba', 'lumba', 'menarik']",tunjuk satwa lumba lumba tarik
5,tujuan yang bagus,tujuan yang bagus,tujuan bagus,"['tujuan', 'bagus']",tuju bagus
3,"Tempat Untuk edukasi anak sudah cukup baik,saran kami sebagai pengunjung untuk lebih memberi fasilitas kelayakan tempat duduk dibagian tribun Dolphin, jangan sampai tempat untuk lewat dijadikan tempat duduk (kotor kan duduk dibekas pijakan ",tempat untuk edukasi anak sudah cukup baiksaran kami sebagai pengunjung untuk lebih memberi fasilitas kelayakan tempat duduk dibagian tribun dolphin jangan sampai tempat untuk lewat dijadikan tempat duduk kotor kan duduk dibekas pijakan ,edukasi anak baiksaran pengunjung fasilitas kelayakan duduk dibagian tribun dolphin dijadikan duduk kotor duduk dibekas pijakan,"['edukasi', 'anak', 'baiksaran', 'pengunjung', 'fasilitas', 'kelayakan', 'duduk', 'dibagian', 'tribun', 'dolphin', 'dijadikan', 'duduk', 'kotor', 'duduk', 'dibekas', 'pijakan']",edukasi anak baiksaran unjung fasilitas layak duduk bagi tribun dolphin jadi duduk kotor duduk bekas pijak
5,"tempat wisata yang sangat bagus , sangat cocok untuk piknik keluarga",tempat wisata yang sangat bagus  sangat cocok untuk piknik keluarga,wisata bagus cocok piknik keluarga,"['wisata', 'bagus', 'cocok', 'piknik', 'keluarga']",wisata bagus cocok piknik keluarga
5,SERU BGT,seru bgt,seru bgt,"['seru', 'bgt']",seru bgt
